agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	aaindexextract	extract	infile	0	0	input	infile	file	-infile		required		AAINDEX database file			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	bases	0	0	input	string	string	-bases	GATC	optional		Base graphs to be displayed (Any string, matching regular expression /[GATC]+/)			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	endbase	0	0	input	integer	integer	-endbase		optional		Last sequence base to report or display. If the default is set to zero then the value of this is taken as the maximum number of bases. (Any integer value)			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	graph	0	0	input	outgraph	ps|hpgl|hp7470|hp758	-graph	$EMBOSS_GRAPHICS value, or x11	required		Graph type (ps, hpgl, hp7470, hp7580, meta, cps, x11, tek, tekt, none, data, xterm, svg)			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	infile	0	0	input	infile	file	-infile		required		ABI sequencing trace file			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	nosequence	0	0	input	boolean	boolean	-nosequence	Y	optional		Display the sequence on the graph			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	outseq	0	0	input	seqout	string	-outseq	<sequence>.<format>	required		Nucleotide sequence filename and optional format (output USA)			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	separate	0	0	input	boolean	boolean	-separate	N	optional		Separate the trace graphs for the 4 bases			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	startbase	0	0	input	integer	integer	-startbase		optional		First base to report or display (Integer 0 or more)			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	window	0	0	input	integer	integer	-window	40	optional		Sequence display window size (Any integer value)			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	abiview	display	yticks	0	0	input	boolean	boolean	-yticks	N	optional		Display y-axis ticks			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	aligncopy	alignment	append	0	0	input	boolean	boolean	-append	N	optional		This allows you to append the name and comments you have given on to the end of the existing alignment header.			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	aligncopy	alignment	comment	0	0	input	string	string	-comment		optional		Comment on the alignment (Any string)			
agua	admin	emboss	6.4.0.0	/aguadev/apps/emboss	aligncopy	alignment	name	0	0	input	string	string	-name		optional		Name of the alignment (Any string)			
